Generation,AVG Score
1,984.0540829251474
5,984.1132090157232
10,983.4789254795994
15,984.331785515511
20,984.0825561559683
25,984.1161373991861
30,984.512342104366
35,983.8221781440222
40,983.7075279622768
45,983.9446319395138
50,984.0036547753014
55,984.2719756065296
60,983.5229161220411
65,984.0651064297817
70,983.5987861194888
75,984.4800301569152
80,983.7183039353829
85,984.2940536682976
90,983.9401556132522
95,984.3616543437544
100,983.8433742790979
105,984.3612890822333
110,984.3223459938363
115,984.3464627690246
120,983.9933916623153
125,983.8096956306515
130,984.4318478032222
135,983.9007747447865
140,983.8610740102762
145,984.1062547202303
150,984.7317646962659
155,984.4198557213288
160,984.1562798705224
165,984.3810598775397
170,984.0772791894124
175,983.9154486929016
180,985.288885624563
185,984.216505564045
190,984.5638912610002
195,984.6620627291647
200,984.4028710005914
205,984.3486829970482
210,984.1212337738277
215,983.8273451188986
220,985.2215429158075
225,984.6146492235481
230,985.1560247851224
235,984.1283790149795
240,985.6914616693405
245,984.593382257357
250,985.2816387822419
255,984.860478971995
260,984.5255497508718
265,984.632068454415
270,984.5293154652438
275,984.8285437394592
280,984.3634673197605
285,984.7464867881387
290,984.1468097940336
295,984.7164389738324
300,985.4173774360464
305,985.4112481946656
310,985.3167553549265
315,985.7706387036678
320,985.0475066685055
325,985.0392713059285
330,985.3847342610161
335,985.1440164752572
340,984.9304092480658
345,984.6677809072605
350,984.4925441629014
355,984.6482050354858
360,984.6486135721718
365,984.8938626746707
370,985.0103523749938
375,984.8577288909757
380,985.2946538211496
385,985.2536898504322
390,985.1045368951909
395,985.2354802218282
400,985.873611671296
405,985.4347155973819
410,984.9836195127375
415,985.9583017959403
420,985.904694018195
425,985.4115697127784
430,985.3111556683007
435,985.1860688919899
440,985.2872155384082
445,984.9928808648785
450,984.6865516230844
455,984.6297949843058
460,984.6205218681825
465,985.4807526570654
470,985.7049479518837
475,985.8727333845576
480,985.041075805448
485,985.5907684821043
490,984.9022717846055
495,985.5319019460954
500,985.7032675369779
505,986.0000965222556
510,984.996925967295
515,986.2514064243084
520,985.2112249065073
525,984.644680835918
530,985.0947319524769
535,984.9320621417776
540,985.5000592399377
545,985.1219314053612
550,985.361228266566
555,985.8177813349736
560,985.2641179558948
565,985.4093274644698
570,986.1345228130076
575,985.6121630090971
580,984.678366456991
585,985.2466372070805
590,985.8792162682479
595,985.152900672043
600,986.5084944877437
605,985.0655431501921
610,986.356109694732
615,985.3589253604138
620,985.5778676456141
625,985.5238467069576
630,984.6901756261977
635,984.9805349836375
640,985.9795733921306
645,985.7759091592097
650,986.4440801044599
655,985.9031015313278
660,985.7721004199459
665,985.8636813526707
670,986.0945784400919
675,985.8332879316074
680,985.9806818526625
685,985.728041449149
690,986.4398110037757
695,985.9224262444237
700,985.8589565387431
705,985.1020937313908
710,986.5819924184905
715,985.9548830586267
720,986.5137514015123
725,986.3887832591641
730,985.6106717771121
735,985.4952128658724
740,985.5893088905984
745,985.7022827147114
750,986.5122155314784
755,986.3543067186841
760,986.0605813963342
765,986.1477497983639
770,985.9325286083015
775,985.4131900934548
780,985.5397465030362
785,986.1328747742855
790,985.4918372903954
795,985.976904777529
800,986.122614413271
805,986.057502908583
810,985.7547747559372
815,986.6478021932269
820,986.9258264309761
825,986.7884088841134
830,986.4069321286075
835,985.5422452136787
840,986.8464613610561
845,986.8390510045767
850,985.478657505352
855,985.1398489746773
860,986.8653771744239
865,987.0517694777615
870,986.7852961519568
875,985.8830353728657
880,986.4799763511965
885,986.291552265386
890,986.374659428279
895,985.4825545259031
900,986.1052768418485
905,987.1398617338309
910,986.8912947861618
915,985.8038583469713
920,986.002386204914
925,986.3740571099443
930,986.5484249605408
935,986.4891274142176
940,985.6346980202554
945,986.2753386599541
950,985.9100933910544
955,985.902191146011
960,985.4567446942631
965,986.790850291876
970,986.0974602484108
975,986.139588689083
980,986.3659076013535
985,986.9600196971853
990,987.4182373336541
995,987.008267308995
1000,986.8160945063973
1005,986.6332851346151
1010,986.0648664539867
1015,986.2781632042272
1020,987.0246851653641
1025,986.2762879765021
1030,986.4263513963199
1035,987.0441942593212
1040,986.6958884480661
1045,987.0976780314113
1050,986.3348790150682
1055,986.2838371686876
1060,986.527022657128
1065,986.2437990266126
1070,986.4937996292692
1075,986.9509772636544
1080,987.0316077175464
1085,986.2771201046569
1090,986.1268004660812
