Generation,AVG Score
1950,987.8436132248264
1955,988.4512106571489
1960,987.9248185188701
1965,987.2394696709531
1970,987.7878284921401
1975,988.3720887673437
1980,987.7279504713463
1985,987.9417054898386
1990,987.7217190516728
1995,988.3834631046151
2000,988.4454985108703
2005,987.4776939013296
2010,988.3275370961071
2015,988.4679807665013
2020,987.8494856591672
2025,988.4872022156709
2030,988.2858207573972
2035,987.5999776452861
2040,988.2021482944605
2045,987.6546391572094
2050,987.8882238727563
2055,988.2997819702307
2060,988.3668018304928
2065,987.8025236331403
2070,987.5635092587521
2075,988.0800340276434
2080,988.2839129168678
2085,988.3798440464063
2090,987.2872003506964
2095,988.4311028037398
2100,988.3065089886246
2105,987.9879954111348
2110,987.8197524328419
2115,987.7580751404732
2120,988.1984207345938
2125,987.5321017492591
2130,988.2072294953321
2135,988.0335614694892
2140,988.2341595740969
2145,987.6201407060311
2150,988.3660699821296
2155,987.5038748721174
2160,988.3764493967377
2165,988.4192541769593
2170,988.3190713541541
2175,988.0401541842053
2180,987.7782351468708
2185,988.0853880645373
2190,987.945390595865
2195,988.4208561430411
2200,988.4453591312083
2205,988.5304035246533
2210,988.0425144552946
2215,988.3657891633827
2220,987.726893764888
2225,988.5041127860588
2230,988.2175459903999
2235,988.285037800781
2240,988.2863015547912
2245,988.5179587486651
2250,988.8128209159768
2255,987.6606433494686
2260,988.5368072700148
2265,988.1163513026377
2270,987.2185799652291
2275,987.6376872453105
2280,988.5446542114781
2285,988.5750746691372
2290,988.3696254016329
2295,987.8530174599518
2300,988.2149607411851
2305,988.4602863740004
2310,988.2742502543335
2315,988.4449935327339
2320,988.5120937327235
2325,988.4519418622422
2330,988.190877350224
2335,988.2688381541899
2340,988.2674050057791
2345,988.1550699487412
2350,988.5110685592128
2355,987.6139932154459
2360,987.979358779925
2365,987.8614495525233
2370,988.496726804475
2375,988.540626213379
2380,988.172077451399
2385,987.9717584811224
2390,988.0111359078552
2395,988.7876006603823
2400,988.3751702042521
2405,988.7848634375077
2410,988.0209383849703
2415,988.2583732165306
2420,988.225632246919
2425,988.1773273528546
2430,988.2995729345836
2435,988.6687057858423
2440,988.0711752599457
2445,988.6267496485223
2450,988.5139659327511
2455,988.7835316180192
2460,988.4844591705945
2465,988.667707278482
2470,988.1468602891557
2475,988.2705173063684
2480,988.3495835057387
2485,988.3565281592819
2490,988.7724878264813
2495,988.324020594283
2500,988.3883952465543
